,title_id,director
1,80088910,Ben Pluimer
0,70290909,Dan Forrer
0,80033772,Kip Andersen
1,80033772,Keegan Kuhn
0,81093951,B. V. Nandini Reddy
0,80238013,Randall Lobb
0,81089941,Stacie Passon
0,81000011,Manop Janjarasskul
0,80217733,Shinsuke Sato
0,80999985,Chatchai Katenut
1,80999985,Manussa Vorasingha
2,80999985,Tanwarin Sukkhapisit
3,80999985,Poj Arnon
0,80188120,Ariel Vromen
0,80164779,Nicole Holofcener
0,81092328,Jerry G. Angelo
0,81183572,Michael Feifer
0,81037283,Elle Callahan
0,80244973,Alex Stapleton
0,81132438,Kıvanç Baruönü
0,81161230,Teng Huatao
0,81002412,Nzingha Stewart
0,81023636,Mark Dennis
1,81023636,Ben Foster
0,80198046,Ben Wallis
0,80106307,Dan Krauss
0,70267728,David Soren
0,81001000,Alessio Cremonini
0,80192445,Elaine McMillion Sheldon
0,80158670,Michael Simon
0,80244019,Joram Lürsen
0,80162143,Oliver Frampton
0,81060174,Mike Binder
0,70130445,Ryan Murphy
0,80216928,Orlando von Einsiedel
0,81001494,Mark Franchetti
1,81001494,Andrew Meier
0,80991570,Damián Romay
0,80184129,Trent Haaga
0,60000861,Mary Harron
0,1151375,Roger Donaldson
0,81137484,Petra Costa
0,80187228,Steven C. Miller
0,81031008,Richard Miron
0,70099119,Tony Leondis
0,70039185,Roger Kumble
0,81165769,Kunle Afolayan
0,70056433,Craig Gillespie
0,70113003,Nick Cassavetes
0,60031232,Clint Eastwood
0,80032842,Kunle Afolayan
0,81137482,Petra Costa
1,81137482,Lea Glob
0,70043308,Roger Allers
1,70043308,Jill Culton
0,81165771,Kunle Afolayan
0,70044697,Wolfgang Petersen
0,70105368,Jonathan Demme
0,81141689,Bernie Denk
0,1008581,Ivan Reitman
0,70058023,Greg Mottola
0,81165786,Kunle Afolayan
0,81165770,Kunle Afolayan
0,70043303,Alejandro Agresti
0,70136074,Daniel Stamm
0,1153194,Phillip Noyce
0,70112730,Tony Scott
0,81158575,Ahmed Zain
0,81065786,Mohamed Hamdy
0,70087541,Dennis Dugan
0,81004113,Peter Ho
0,81003984,Jordi Llompart
0,70024088,Rian Johnson
0,81005312,Olivier Marchal
0,80082969,Dennis Iliadis
0,80994130,Qaushiq Mukherjee
0,81019924,Sudip Bandyopadhyay
0,81018240,Onir
0,81013710,Jatla Siddartha
0,70077076,Jeremy Saulnier
0,81014988,Kanwal Sethi
0,80102950,Banjong Pisanthanakun
0,70055221,Alfonso Cuarón
0,81005314,Samuel Jouy
0,80242828,Akiva Goldsman
0,81004223,Damien Leone
0,80198730,Karen Moncrieff
0,80999945,Jean-Pierre Devillers
0,81016043,Sophon Sakdaphisit
0,17672040,Curtis Hanson
0,81011096,Young Jun Lee
0,20254278,Rajiv Mehra
0,70276596,Toshiyuki Kubooka
0,80063025,Toshiyuki Kubooka
0,70068739,Todd S. Yellin
0,80184974,Jesse Adang
1,80184974,Syrine Boulanouar
0,80156941,Rajiv Mehra
0,80061314,Elizabeth Chai Vasarhelyi
0,70052492,Toshiya Shinohara
0,70036200,Toshiya Shinohara
0,70018513,Toshiya Shinohara
0,80158480,Mohammed Hussain
0,80139506,Eli Craig
0,80205314,Parambrata Chatterjee
0,80158545,Shammi Kapoor
0,80156939,Umesh Mehra
0,80152537,Masahiko Murata
0,80045673,Masahiko Murata
0,70275937,Masahiko Murata
0,70101321,Hirotsugu Kawasaki
0,70108386,Toshiyuki Tsuru
0,70074559,Tensai Okamura
0,80162197,Florian Schnell
0,80184055,Josh Izenberg
1,80184055,Wynn Padula
0,80160358,Thierry Demaizière
1,80160358,Alban Teurlai
0,60034929,Spike Lee
0,80157134,Latif Faiziyev
1,80157134,Umesh Mehra
0,80141891,Gastón Duprat
1,80141891,Mariano Cohn
0,80183897,Bette Gordon
0,80177834,Gary Wang
0,80121855,Raz Degan
0,80168028,Israel Adrián Caetano
0,80190990,Mariano Cohn
1,80190990,Gastón Duprat
0,80173269,Drew Stone
0,80106140,Joram Lürsen
0,80106137,Jelle de Jonge
0,80114155,Afia Nathaniel
0,80118841,Luke Jurevicius
0,80102579,Sean Cisterna
0,80097438,Will Allen
0,80114419,Nacho G. Velilla
0,80103426,David Serrano
0,70278877,Jay Chapman
0,80244311,Jenny Gage
0,81183570,Kaila York
0,81016328,Ifa Isfansyah
0,80239503,Stan Lathan
0,81016321,Angga Dwimas Sasongko
0,80031666,Evgeny Afineevsky
0,80995737,Ryan Polito
0,81020161,Kabir Bhatia
0,80025390,Russell Crowe
0,80196216,Andrew Sandler
0,80091741,Ava DuVernay
0,80115464,Dave Higby
0,80041653,Richie Smyth
0,81016338,Andibachtiar Yusuf
0,81002592,Dustin Nguyen
0,81017724,Chris Eigeman
0,80170301,Stanley Tong
0,80189623,David France
0,81177367,Vandana Kataria
0,81016323,Angga Dwimas Sasongko
0,81016318,Riri Riza
0,80242081,Olaf de Fleur
0,80168222,Tamara Jenkins
0,81158574,Onur Bilgetay
0,80237905,Vincenzo Natali
0,81132440,Tugçe Soysop
0,81021243,Jacob Joice
1,81021243,Steve Ball
0,81004460,Craig Goodwill
0,81016330,Riri Riza
0,70105130,Mickey Liddell
0,80141858,Michael D. Black
0,81084225,Juani Libonatti
0,80203920,DJ Chen
0,80199806,Dani de la Torre
0,80084834,Jerrold Tarog
0,80208273,Judah Friedlander
0,80145699,Errol Morris
0,70266684,Oliver Blackburn
0,81166978,Park Joon-hwa
0,81177371,Saravana Rajendran
0,70067230,Onir
0,80207446,Jitendra Tiwari
1,80207446,Pranav Singh
0,80207447,Vivek Wagh
0,81016324,Riri Riza
0,80192097,Alex Israel
0,70185045,Lee Fulkerson
0,70002129,Joe Camp
0,80191963,Kavi Raz
0,80218099,Nick Simon
0,80199767,Don Mancini
0,80191665,Brandon Jones
0,80161921,Alain Desrochers
0,81148672,Brian Volk-Weiss
0,80224362,Deniz Gamze Ergüven
0,80092857,Robert Vince
0,80244679,Everardo González
0,81110394,Matt Kay
0,80067754,Drake Doremus
0,80189954,Robert Vince
0,80094648,Osgood Perkins
0,80066073,Werner Herzog
0,80123740,Julien Rambaldi
0,80123741,Yvan Attal
0,80123742,Benjamin Weill
0,81000863,Scott Hussion
1,81000863,Seth Fuller
0,70082255,Wilson Yip
0,80117454,Griffin Dunne
0,80095197,Roger Gual
0,80045783,J. Davis
0,81123469,Rob Smat
0,80211622,Tinge Krishnan
0,80990221,Aleksey German
0,80202352,Eric Zaragosa
0,80235268,Sergio Barrejón
0,80241061,Sandi Tan
0,81025088,Vijay Yelakanti
0,80173479,Katherine Dieckmann
0,80081372,Natalie Portman
0,81136744,John Murlowski
