,title_id,title,date_added,release_year,rating,duration,description
40,80058026,Hell and Back,09/06/2018,2015,R,86,"When best friends break a blood oath, one of them is cast away to hell, and the other two must save him from the misfits of the underworld."
41,70303496,PK,09/06/2018,2014,TV-14,146,Aamir Khan teams with director Rajkumar Hirani to play a social crusader in a political satire on the state of corruption in India.
42,80162141,Hard Tide,09/06/2017,2015,TV-MA,79,A drug dealer who's been emulating his father's successful criminal career is forced to go on the run with a young girl in this fact-based thriller.
43,80095641,Elstree 1976,09/06/2016,2015,TV-PG,102,"Then and now footage of bit players who appeared in ""Star Wars"" tells the story of how the film and its legions of fans changed their lives forever."
44,81176188,American Factory: A Conversation with the Obamas,09/05/2019,2019,TV-G,10,Barack and Michelle Obama talk with directors Steven Bognar and Julia Reichert about the documentary and the importance of storytelling.
45,80159880,ATM,09/05/2018,2012,TV-14,122,"When a broken ATM dishes out a fortune, a couple who works at the bank vies to see who can recover the most cash – and the loser must find a new job."
46,81016044,Bangkok Traffic (Love) Story,09/05/2018,2009,TV-14,126,"After an encounter with an engineer working the night shift for the city train, a 30-year-old woman struggles against all odds to pursue true love."
47,80158838,I Fine... Thank You... Love You,09/05/2018,2014,TV-14,116,"Desperate to go to the U.S. to win back his girlfriend, Yim hires a tutor to teach him English. But things don't go according to plan."
48,81016045,One Day,09/05/2018,2016,TV-PG,135,"When his colleague (and crush) temporarily loses her memory, an overlooked geek seizes the chance to make an impression before she remembers again."
49,70142798,Phobia 2,09/05/2018,2009,TV-MA,125,"From disfiguring punishments to festering souls, Thai horror masters present five supernatural tales of karma in this sequel to the 4bia anthology."
50,70062814,Shutter,09/05/2018,2004,TV-MA,96,"After killing a young girl in a hit-and-run accident, a couple is haunted by more than just the memory of their deadly choice."
51,80158839,Suckseed,09/05/2018,2011,TV-MA,130,"When his boyhood crush Ern returns, Ped forms a band with his friend to impress her. Romantic rivalries bloom after the talented Ern joins the group."
52,80147760,Carrie Pilby,09/05/2017,2016,TV-14,98,"A socially awkward 19-year-old genius makes big plans to step out of her shell and make a friend, get a job and – maybe – even go on a date."
53,80177405,Marc Maron: Too Real,09/05/2017,2017,TV-MA,70,"Battle-scarred stand-up comedian Marc Maron unleashes a storm of ideas about meditation, mortality, documentary films and our weird modern world."
55,81160036,Saawan,09/04/2019,2016,TV-14,128,"Outcast from society and left to die in the wilderness, a young boy with polio embarks on a journey to connect with his mother. Based on a true story."
56,81173255,The Heretics,09/04/2019,2017,TV-MA,88,A withdrawn young woman hunted by a malicious cult is abducted by a brooding stranger and undergoes a bizarre transformation.
57,81078908,The World We Make,09/04/2019,2019,PG,108,"A teenage equestrian and a local football player for each other, but simmering racism in their small town puts their relationship to the test."
58,81155784,Watchman,09/04/2019,2019,TV-14,93,"Rushing to pay off a loan shark, a young man breaks into a bungalow to steal the cash, unprepared for the dog standing guard – or the trouble inside."
59,80201906,Black Panther,09/04/2018,2018,PG-13,135,"T'Challa, the superpowered new leader of the hidden, highly advanced African nation of Wakanda, strives to protect his home from enemies old and new."
