,title_id,title,date_added,release_year,rating,duration,description
1713,81077863,Born in Gaza,05/17/2019,2014,TV-14,70,This documentary focuses on the devastating violence of the Israel-Palestine conflict and its effects on the children of Gaza.
1714,81077851,Born in Syria,05/17/2019,2016,TV-14,87,This intimate documentary follows a group of Syrian children refugees who narrowly escape a life of torment and integrate into a foreign land.
1715,81073590,Dying to Tell,05/17/2019,2018,TV-MA,88,"Seeking answers after a life-changing incident in 2012, filmmaker Hernán Zin interviews other war reporters about the personal toll of their work."
1716,81103108,First Impression,05/17/2019,2018,TV-14,96,"Unaware they’ve matched online, a struggling writer embellishes his lifestyle to impress a successful exec with whom he sparks an unexpected romance."
1718,80236341,Maria,05/17/2019,2019,TV-MA,90,"An ex-assassin tries to leave her dark past behind until a power-hungry gang targets her and her family, forcing her to summon her killer instincts."
1719,80191050,ReMastered: The Lion's Share,05/17/2019,2019,TV-14,84,"After discovering the family of Solomon Linda, the writer of ""The Lion Sleeps Tonight,"" a reporter tries to help them fight for fair compensation."
1720,81041271,Saverio Raimondo: Il Satiro Parlante,05/17/2019,2019,TV-MA,53,"Italian comic and satirist Saverio Raimondo regales a Milan crowd with tales of online antics, awkward injuries and white-knuckle flights."
1721,80216758,See You Yesterday,05/17/2019,2019,TV-MA,87,"As two teen prodigies try to master the art of time travel, a tragic police shooting sends them on a series of dangerous trips to the past."
1723,70083809,Katt Williams: American Hustle (The Movie),05/17/2018,2007,NR,89,"An aspiring actor leaves Hollywood and takes to the road to do stand-up after he's cast in a series of increasingly stereotypical ""black"" roles."
1724,80028529,Tinker Bell and the Legend of the NeverBeast,05/17/2015,2014,G,78,"When suspicious scout fairies scheme to capture the fearsome-looking NeverBeast, Tinker Bell and Fawn set out to save the wondrous creature."
1725,70154110,Even the Rain,05/17/2011,2010,NR,103,"While making a film about the incursion of Christopher Columbus in the New World, a director finds the Bolivian locals protesting modern exploitation."
1726,80998967,Good Sam,05/16/2019,2019,TV-PG,90,A curious reporter finds love while pursuing the story of a mysterious figure who's leaving bags of cash for strangers around New York City.
1727,81038047,Jonaki,05/16/2019,2018,TV-14,96,"In this quiet, wistful drama, a woman on her deathbed searches her fraying memories for love and fulfillment through surreal, meditative tableaux."
1728,60021906,Kyo Kii... Main Jhuth Nahin Bolta,05/16/2019,2001,TV-PG,150,The life and career of a lawyer are thrown into chaos when his son's wish magically renders him incapable of telling a lie.
1729,70142827,Limitless,05/16/2019,2011,PG-13,105,"With his writing career dragging, Eddie Morra finds his life turning around after he takes a drug that provides astonishing mental focus."
1730,70149579,"LSD: Love, Sex Aur Dhokha",05/16/2019,2010,TV-MA,112,This provocative drama examines how the voyeuristic nature of modern society affects three unusual couples in Northern India.
1731,70109375,Mission Istaanbul: Darr Ke Aagey Jeet Hai,05/16/2019,2008,TV-MA,119,A television journalist makes a risky career move by accepting a job offer from a controversial Istanbul television station.
1732,70289558,Once Upon a Time in Mumbai Dobaara!,05/16/2019,2013,TV-14,142,"This turbulent sequel to Once Upon a Time in Mumbai carries on the saga of the gangland don Shoaib Khan, who continues pressing for more control."
1733,81085319,PATRICK (2019),05/16/2019,2019,TV-PG,94,"When a schoolteacher inherits an adorable pug, she has to find a way to take care of it while dealing with her flatlining love life."
1734,70117577,Take Me Home Tonight,05/16/2019,2011,R,97,"Set in the financial boom of the late 1980s, this tale centers on a recent college grad trying to figure out what to do with his life."
1735,80227554,'89,05/16/2018,2017,TV-PG,87,"Mixing old footage with interviews, this is the story of Arsenal's improbable win versus Liverpool in the final moments of the 1989 championship game."
1736,70158421,Action Replayy,05/16/2018,2010,TV-PG,129,"Vipul Amrutlal Shah directs this sci-fi rom-com that stars Akshay Kumar and Aishwarya Rai as Kishen and Mala, a married couple who are so miserable, they inspire their son, Bunty, to go back in time and make his parents fall in love."
1737,20258084,Andaz Apna Apna,05/16/2018,1994,TV-PG,160,"Broke and with no concrete plans for the future, two young men discover that a stunning heiress lives nearby and try to charm her into marriage."
1738,80233511,Food on the Go,05/16/2018,2017,TV-14,66,"Epicureans and experts trace the migration of Italian cuisine and its evolution in the Americas, delving into the ideas of origin, diaspora and heritage."
1739,80097814,Christine,05/16/2017,2016,R,119,"In a film based on true events, an awkward but ambitious TV reporter struggles to adapt when she's ordered to focus on violent and salacious stories."
1740,70241757,The Place Beyond the Pines,05/16/2017,2012,R,140,A violent confrontation between a motorcycle-riding bank robber and a rookie cop spirals into a tense generational feud.
1741,80133551,Tracy Morgan: Staying Alive,05/16/2017,2017,TV-MA,59,"In his first special since his serious car accident, Tracy Morgan cracks jokes about life in a coma, his second marriage and his family's dark side."
1742,81110388,7 Din Mohabbat In,05/15/2019,2018,TV-PG,137,"Given just seven days by a genie to find a girl who will fall for him, a nerdy young man embarks on a madcap and messy search for his would-be wife."
1743,80220311,All the Devil's Men,05/15/2019,2018,R,100,A battle-scarred Special Ops military vet joins a CIA-funded assignment to take down a Russian terrorist and his trigger-happy comrades.
1744,81110389,Cake,05/15/2019,2018,TV-14,125,"When their aging father’s illness reunites two sisters under one roof, new tensions arise between them as old wounds and hidden secrets surface."
1746,70111279,EMI: Liya Hai To Chukana Padega,05/15/2019,2008,TV-14,128,A bank hires an enigmatic and unorthodox debt collector to recover money from four borrowers who are unable to pay their loans.
1747,81123050,Hamid,05/15/2019,2018,TV-14,108,"Wanting his missing father to come home, a Kashmiri boy repeatedly attempts to call God for help – until one day, a hardened army officer picks up."
1750,70007056,Kucch To Hai,05/15/2019,2003,TV-14,136,"A student tries to steal a test from a teacher's home, leaving him for dead after an accident. A string of murders may be the professor's revenge."
1751,70035357,Kyaa Kool Hai Hum,05/15/2019,2005,TV-14,165,"Longtime friends Rahul and Karan head to Mumbai intent on making their dreams come true, but both men are suddenly saddled with bad luck."
1752,80108481,Kyaa Kool Hain Hum 3,05/15/2019,2016,R,124,"When an unlikely porn actor falls for a woman outside the industry, he employs his co-stars as a stand-in traditional family to impress her father."
1753,70153178,Once Upon a Time in Mumbaai,05/15/2019,2010,NR,133,"Mumbai's top mob boss rules the underworld with honor and compassion, but his power-hungry protégé will shake up the world of organized crime."
1754,70073018,Shootout at Lokhandwala,05/15/2019,2007,UR,116,"Based on a true story, this action film follows an incident that stunned a nation in the early 1990s. In Mumbai, India, the notorious gangster Maya holds off veteran cop Khan and a force of more than 200 policemen in a six-hour bloody gunfight."
1755,80994416,Aadu 2,05/15/2018,2017,TV-14,150,"When Shaji Pappan and his gang of goofy outlaws find themselves low on funds, they plan to once again win a hefty prize in a tug-of-war competition."
1756,80243408,Aiyaary,05/15/2018,2018,TV-14,158,"When his protégé goes rogue and poses a grave threat to the government he serves, a veteran officer of the Indian Army tries to stop him at all costs."
1757,80994418,Chalay Thay Saath,05/15/2018,2017,TV-14,118,Beautiful and adventurous doctor Resham meets a handsome Chinese backpacker named Adam while traveling with friends on a journey of self-discovery.
1758,70050576,Lupin the 3rd: The Castle of Cagliostro: Special Edition,05/15/2018,1979,PG-13,100,"Lupin, his sidekick, Jigen, and the samurai warrior Goemon set out to take over an evil counterfeit operation at Count Cagliostro's fortress."
1759,70253596,Only God Forgives,05/15/2018,2013,R,90,"When a cop kills the brother of an expat American gangster who runs a Bangkok fight club, his crime-boss mother flies in to supervise revenge."
1761,80157133,Chamatkar,05/15/2017,1992,TV-14,164,"A village schoolteacher and the ghost of a murdered man, who were both betrayed by those closest to them, join forces to help each other."
1763,80107656,Command and Control,05/15/2017,2017,TV-PG,92,"Chronicling a 1980 Titan II missile accident, this sobering documentary weighs the balance of power and safety involving weapons of mass destruction."
1764,80157083,Kabhi Haan Kabhi Naa,05/15/2017,1994,TV-14,151,A dreamer falls for a girl who is in love with someone else and tries to create a rift between her and the man she loves.
1765,80098287,Lovesong,05/15/2017,2016,TV-MA,84,"Best friends Sarah and Mindy share an unexpected moment while on a road trip. Years later, the two struggle to reconnect before a wedding."
1766,80059342,Natascha Kampusch: The Whole Story,05/15/2017,2010,TV-14,51,A Viennese child who was kidnapped and held captive in a basement before escaping after eight years reveals her headline-making story of survival.
1767,24081514,Ram Jaane,05/15/2017,1995,TV-14,142,"Two boyhood pals – one righteous, the other a criminal – take very different paths to adulthood. Their love for the same woman may prove disastrous."
1769,80128688,Smash: Motorized Mayhem,05/15/2017,2017,TV-MA,66,"Buckle up for a look inside a biannual school bus race in Florida, a harrowing event where carnage and collisions are most definitely encouraged."
1770,80157564,The Devil's Mistress,05/15/2017,2016,TV-14,110,"Before the dawn of World War II, an ambitious actress pursues her dreams in Berlin. But her plans derail when she becomes Joseph Goebbels’ mistress."
1771,80178078,The Intent,05/15/2017,2016,TV-MA,99,"After burgeoning criminal Gunz joins the increasingly violent TIC crew, the gang finds itself dealing with threats from all sides."
1772,80104330,Attacking the Devil: Harold Evans and the Last Nazi War Crime,05/15/2016,2014,TV-14,102,Intrepid newspaper editor Harold Evans wages an ongoing battle to expose the truth about a dangerous drug and obtain compensation for its victims.
1773,81053958,Backdraft 2,05/14/2019,2019,R,102,"In this sequel to the 1991 film, a determined fire investigator recruits an imprisoned arsonist to help untangle a web of fire, murder and corruption."
1774,81094666,Killer Cove,05/14/2019,2018,TV-14,87,"An unlucky woman finds a solution for her hateful ex, a trying job hunt and a stalker through a charming P.I. – only to endure a new set of problems."
1776,81036199,Still LAUGH-IN: The Stars Celebrate,05/14/2019,2019,TV-MA,61,"This celebration of the groundbreaking comedy show ""Laugh-In"" stars Lily Tomlin, Snoop Dogg, Billy Crystal, Tiffany Haddish, Neil Patrick Harris and more."
1777,81016247,Weed the People,05/14/2019,2018,TV-14,94,"Buoyed by hopeful experiences with medical marijuana, physicians and parents of children with cancer call for more research of its healing potential."
1779,80223928,Malibu Rescue,05/13/2019,2019,TV-G,70,"When a long list of shenanigans lands Tyler in hot water, he’s forced to suit up and spend his summer training for an elite junior lifeguard program."
1780,81065331,Norm of the North: Keys to the Kingdom,05/13/2019,2019,TV-PG,92,"When Norm the polar bear is framed for a crime he didn’t commit, his friends step up to help him clear his name."
1781,80186940,Ali Wong: Hard Knock Wife,05/13/2018,2018,TV-MA,64,"Two years after the hit ""Baby Cobra,"" Ali Wong is back with another baby bump – and a torrent of hilarious truths about marriage and motherhood."
1782,80120740,Wild Oats,05/13/2017,2016,PG-13,86,"When insurance accidentally pays her millions, retired teacher Eva and her pal Maddie head to the Canary Islands for the adventure of their lives."
1783,81077874,Merata: How Mum Decolonised the Screen,05/12/2019,2018,TV-14,88,New Zealand film archivist Heperi Mita traces the cinematic legacy of his mother and trailblazing Maori filmmaker Merata Mita.
1785,80117736,Spivak,05/12/2018,2017,TV-MA,92,Struggling writer Wally Spivak is stuck in a rut – until he meets an engaged couple and starts to see life in a whole new way.
1787,80114666,Get Me Roger Stone,05/12/2017,2017,TV-MA,101,"Examine the rise, fall and rebirth of political operative Roger Stone, who's been an influential member of Team Trump for decades."
1788,80157866,Mindhorn,05/12/2017,2017,TV-MA,88,"When a twisted killer tells the police he'll only speak to a fictional 1980s TV detective, the washed-up actor who played him takes the gig."
1789,80161029,Sahara,05/12/2017,2017,TV-Y7,86,"When his new love is captured by an evil snake charmer, a young cobra and his scorpion best friend set out across the desert on a wild rescue mission."
1790,81039410,Dry Martina,05/11/2019,2018,TV-MA,100,An odd encounter with a fan and a tryst with that fan's ex-boyfriend leads a sexually adventurous singer on an escapade in Chile.
1791,81012340,Shéhérazade,05/11/2019,2019,TV-MA,111,"Fresh out of juvenile detention in Marseille, 17-year-old Zach falls for a young prostitute and soon faces a dire dilemma while working as a pimp."
1792,70242536,The Great Magician,05/11/2019,2011,TV-PG,128,"In 1920s Beijing, a host of talented performers gather to show off their skills. The challenge: reproduce a magic trick called the Eight Immortals."
1794,80192065,Carlos Ballarta: Furia Ñera,05/11/2018,2018,TV-MA,63,Mexican comic Carlos Ballarta mocks himself and points out the absurdities of parenthood and how he uses his wife's pregnancies to avoid commitments.
1796,80143556,The Kissing Booth,05/11/2018,2018,TV-14,105,"When teenager Elle's first kiss leads to a forbidden romance with the hottest boy in high school, she risks her relationship with her best friend."
1798,81092777,Bheemayan,05/10/2019,2018,TV-Y7-FV,63,"It's Diwali! To celebrate, Chhota Bheem and his friends put on a stage show of the Ramayana, re-enacting the epic story behind the festival of lights."
1799,81092779,Chhota Bheem Aur Kaala Yodha,05/10/2019,2018,TV-Y7,63,"Finally released after being trapped in an ancient book for centuries, a wicked warrior sets out to conquer Dholakpur – but not if Bheem can help it!"
1800,81092776,Chhota Bheem Ka Romani Adventure,05/10/2019,2018,TV-Y7,62,"Bheem and King Indraverma travel to Rome for a trading venture, but when the king of a neighboring land attacks, can Bheem’s wile and wit save the day?"
1801,81092778,Chhota Bheem Ka Troll Se Takkar,05/10/2019,2018,TV-Y7,62,Trolls kidnap the king's daughters and overtake the kingdom of Messina. Can Bheem track them down and bring the princesses home?
1802,80216541,In Family I Trust,05/10/2019,2018,TV-MA,98,"After her partner cheats on her, an architect returns to her hometown to reassess her life with the help of her eccentric family. Based on the novel."
1807,80194950,Wine Country,05/10/2019,2019,R,104,"When longtime friends meet up for a wine-soaked birthday getaway in Napa Valley, their perfectly planned weekend turns messier by the minute."
1808,70261058,Aiyyaa,05/10/2017,2012,TV-14,151,"An outspoken, imaginative girl from a conservative family pursues her dream man while fending off the prospect of an arranged marriage."
1809,70204288,Bbuddah Hoga Terra Baap,05/10/2017,2011,TV-14,116,"A cooly confident aging hit man returns from exile in Paris to his old city, Mumbai, to revisit his past and perform one last job."
1810,80057278,Gabbar Is Back,05/10/2017,2015,TV-14,128,"After a vengeful college professor targets corruption in the government, he adopts the name ""Gabbar"" and becomes a hero to a weary public."
1811,70293703,Madras Café,05/10/2017,2013,NR,128,An Indian intelligence agent journeys to a war-torn coastal island to break a resolute rebel group and meets a passionate journalist.
1812,80165853,Michael,05/10/2017,2011,TV-MA,86,"After a dedicated cop accidentally kills a 12-year-old boy, he's fired, harassed and forced to take menial work as he tries to keep his life together."
1813,80161108,The Adventure Club,05/10/2017,2016,TV-Y7,88,"After finding a peculiar key, three smart and adventurous kids launch a quest to uncover the whereabouts of a coveted archaeological treasure."
1814,80082660,The Apostate,05/10/2017,2015,TV-MA,80,A young man determined to renounce Catholicism by having his baptismal records excised is thwarted by church bureaucracy and his own inner conflicts.
1815,80028359,Russell Madness,05/10/2015,2015,PG,93,"A spunky terrier named Russell with serious wrestling chops becomes a sports phenomenon with the help of his coach, a monkey named Hunk."
1816,81076049,American Experience: The Island Murder,05/01/2019,2018,TV-14,53,"In 1931, a young Navy wife tore apart Hawaii on racial lines after claiming she was raped by a gang of nonwhite islanders."
1817,60031264,Dr. Seuss' The Cat in the Hat,05/01/2019,2003,PG,82,"While Mom is away, a bored little boy and girl are visited by the Cat in the Hat, who proceeds to turn the house into the ""mother of all messes."""
1818,81059956,Familiye,05/01/2019,2017,TV-MA,99,"An ex-con struggles to take care of his two brothers, a gambling addict and a young man with Down syndrome, after being released from prison."
1819,81094667,Hidden in Plain Sight,05/01/2019,2019,TV-14,87,A woman stages her own suicide but still lives in fear of her abusive ex-boyfriend tracking her down and stealing the son he never knew he had.
1820,81069255,John & Yoko: Above Us Only Sky,05/01/2019,2018,TV-14,90,"Featuring interviews and never-before-seen footage, this film tells the story behind John Lennon and Yoko Ono’s seminal 1971 album, “Imagine.”"
1821,81094083,Kia and Cosmos,05/01/2019,2018,TV-14,124,A 15-year-old girl with autism attempts to write a mystery novel based on her hunt for the killer of a neighborhood cat.
1822,80208082,Kill Hitler! The Luck of the Devil,05/01/2019,2015,TV-14,53,"From politicians to officers, many attempted to kill Hitler – and failed. This documentary delves into the details of how their plots unraveled."
1823,81080637,Knock Down The House,05/01/2019,2019,PG,88,Go behind the scenes as four determined women – including Alexandria Ocasio-Cortez – challenge big-money politicians in the 2018 race for Congress.
1824,80197303,Le serment des Hitler,05/01/2019,2014,TV-PG,54,This documentary retraces the footsteps of Adolf Hitler's mysterious nephew and explores what became of the Hitler family line.
1825,81049260,Munafik 2,05/01/2019,2018,TV-MA,104,"Haunted by terrifying visions, a Muslim healer finds his faith tested when he helps a woman locked in battle, body and soul, with a diabolical leader."
1826,81017593,Robin Hood: The Rebellion,05/01/2019,2018,TV-14,92,"When the Sheriff of Nottingham takes his beloved captive, Robin Hood embarks on a daring rescue mission at the tyrant's castle."
1828,70270364,Snowpiercer,05/01/2019,2013,R,126,The Earth's remaining inhabitants are confined to a single train circling the globe as revolution brews among the class-divided cars.
1829,81093342,Sur Sapata,05/01/2019,2019,TV-14,140,A group of small-town students goes for glory by competing in a statewide kabaddi tournament 25 years after their school's championship victory.
1830,70056441,Teenage Mutant Ninja Turtles,05/01/2019,2007,PG,87,"In this animated adventure, Master Splinter whips the four Ninja Turtles back into shape to defeat monsters running amok in New York."
1831,419733,The Dark Crystal,05/01/2019,1982,PG,93,"In this mythical tale, Jen, the last of the Gelfling race, is charged with healing the Crystal of Truth after its mutilation sets off an era of terror."
1833,81021631,Two Graves,05/01/2019,2018,TV-MA,80,"A doctor and a drug addict kidnap the son of a local gangster, seeking revenge for the death of a loved one."
1834,80241044,"27, el club de los malditos",05/01/2018,2018,TV-MA,82,"After a musician dies under suspicious circumstances, a hard-drinking detective and a music fan investigate why rock stars often die at the age of 27."
1835,80213148,27: Gone Too Soon,05/01/2018,2017,TV-MA,70,"Explore the circumstances surrounding the tragic deaths at 27 of Jimi Hendrix, Jim Morrison, Brian Jones, Janis Joplin, Kurt Cobain and Amy Winehouse."
1836,80150390,Abhinetri,05/01/2018,2016,TV-14,131,"Due to family pressure, a corporate man reluctantly marries a woman from the village, but in their new home, she abruptly assumes a different persona."
1837,80993495,Ajji,05/01/2018,2017,TV-MA,105,"When her small granddaughter is sexually assaulted by a powerful man and no justice is served, a poor, frail old woman plots her violent revenge."
1840,80192548,CIA: Comrade in America,05/01/2018,2017,TV-14,130,"A young man in Kerala has two weeks to stop the woman he loves from a fixed marriage in the U.S., but he doesn't have the papers to get there."
1841,80232894,Coffee for All,05/01/2018,2017,TV-PG,69,"In Naples, Buenos Aires and New York, people reflect on the Neapolitan tradition of ""suspended coffee"" and how it changed their lives."
1842,80232330,Darc,05/01/2018,2018,TV-MA,98,"To bring down a global human trafficking ring, an Interpol agent recruits the help of a brutal criminal with inside knowledge of the yakuza."
1843,80103425,Despido Procedente,05/01/2018,2017,TV-MA,90,"A Spaniard working in Argentina sees his life upended after accidentally giving bad directions to a passerby, who demands compensation for the error."
1844,80170875,God's Own Country,05/01/2018,2017,TV-MA,105,"In Yorkshire, a withdrawn gay farmer begins a torrid affair with a Romanian migrant worker who shows him the depths of his capacity for affection."
1845,80990815,Gurgaon,05/01/2018,2017,TV-14,106,"When the daughter of a wealthy family returns from college, she gets a frosty welcome from her brother, who has problems – and plans – of his own."
1846,80990816,Hombanna,05/01/2018,2017,TV-14,126,"In the forests of Karnataka, a farmer and his community face eviction from the land when they get caught in the currents of socio-political change."
1848,80990829,Jewel's Catch One,05/01/2018,2016,NR,84,"The story of famed L.A. nightclub Catch One and owner Jewel Thais-Williams, who defied all odds and provided a safe space for black LGBT communities."
1849,80238110,John Mulaney: Kid Gorgeous at Radio City,05/01/2018,2018,TV-MA,65,"John Mulaney relays stories from his childhood and “SNL,” eviscerates the value of college and laments getting older in this electric comedy special."
1851,80241876,Le K Benzema,05/01/2018,2017,TV-14,121,"After a blackmailing scandal and being sidelined from the French national team, Real Madrid forward Karim Benzema tells his side of the story."
1852,80990811,Love Ni Bhavai,05/01/2018,2017,TV-PG,163,"Not romantically inclined, a popular radio personality finds herself caught between two diametrically opposed suitors."
1855,80224106,My Perfect Romance,05/01/2018,2018,PG,92,"Just in time for Valentine's Day, a program developer pitches a revolutionary dating algorithm to her new CEO, who volunteers them as guinea pigs."
1856,80206732,Nibunan,05/01/2018,2017,TV-14,124,"With numbers written on a doll as their only clue, three officers of the law track down a psychotic killer, unearthing dark secrets along the way."
1857,80990810,Onaatah,05/01/2018,2016,TV-14,107,"Seeking to heal after a traumatic assault, a young woman retreats to a small village by the hills, where she finds hope, love and new purpose."
1858,80235766,Pocoyo & Cars,05/01/2018,2015,TV-Y,19,"Pocoyo gears up for exciting car races and learns that friends, teamwork and imagination are what matter the most."
1859,80235767,Pocoyo & The Space Circus,05/01/2018,2008,TV-G,25,"Acrobatic aliens arrive on spaceships and perform for everyone, but when angry aliens arrive as well, Pocoyo and his friends must now put on a show."
1860,80235853,Pocoyo Carnival,05/01/2018,2015,TV-Y,22,"To celebrate the carnival, everyone learns to dance to different music. Plus, Pocoyo's friends surprise him with something delicious."
1861,80236099,Pocoyo Halloween: Space Halloween,05/01/2018,2015,TV-G,40,Pocoyo and his friends have a costume contest to celebrate Halloween and learn new things about planets and stars in space.
1862,80235854,Pocoyo Halloween: Spooky Movies,05/01/2018,2014,TV-G,22,"Pocoyo finds a special toy and plays new games with his friends, then they’re spooked by a scary box and try to find out who’s inside."
1863,80236224,Pocoyo Special Sports,05/01/2018,2016,TV-Y,24,"Everyone is getting excited for the games. Pocoyo plays baseball and golf, and races with his friends. Ready, set, go!"
1865,80990814,Ringan,05/01/2018,2015,TV-14,103,"Desperate to save his land, an indebted farmer journeys to Pandharpur to seek divine blessing with his small son, who searches for his mother."
1866,80245268,Roberto Saviano: Writing Under Police Protection,05/01/2018,2016,TV-14,45,"Italian TV host Pif revisits Roberto Saviano, who's been living under protection since publishing ""Gomorrah,"" his exposé on organized crime in Naples."
1868,80228322,Sometimes,05/01/2018,2016,TV-14,101,"Seven strangers anxiously waiting for their HIV test results decide to bribe the clinic receptionist to get them early, learning one is positive."
1871,80223149,The Carter Effect,05/01/2018,2017,TV-14,60,"Featuring eight-time NBA All-Star Vince Carter, this documentary takes an in-depth look at his impact on pop culture and the Canadian basketball scene."
1872,80179373,The Clapper,05/01/2018,2017,R,90,"A newcomer ekes out a living in LA as a professional audience member on infomercials, but life gets complicated when he's thrust into the spotlight."
1873,80233962,Toc Toc,05/01/2018,2017,TV-MA,96,"A group of patients with OCD wait for their flight-delayed doctor to arrive for their appointments, forcing them to endure each other's oddball quirks."
1874,80233493,Tremors 6: A Cold Day in Hell,05/01/2018,2018,PG-13,98,"The subterranean, worm-like creatures are back, and Graboid-hunter Burt Gummer suspects they've been weaponized."
1875,80990813,Waiting,05/01/2018,2015,TV-14,94,"While visiting his comatose wife in the hospital, a serene old professor befriends a vibrant young woman whose husband has also fallen into a coma."
1876,80220531,Withdrawn,05/01/2018,2017,TV-MA,74,"Unable to pay bills and unwilling to change his slacker lifestyle, twentysomething Aaron hatches a defrauding scheme when he finds a lost credit card."
1877,80134149,A Kind of Murder,05/01/2017,2016,R,96,"Obsessed with an unsolved murder case, a crime novelist stuck in an unhappy marriage fantasizes about killing his wife, who soon turns up dead."
1878,80115133,A Yellow Bird,05/01/2017,2016,NR,111,"In Singapore, a homeless ex-convict hoping to reunite with his family forms a bond with a Chinese sex worker while serving as her bodyguard."
1879,80176698,Abby Sen,05/01/2017,2015,TV-PG,127,"After losing his seventh job in a row, a TV producer and sci-fi buff travels back in time to 1980, where his employment prospects improve."
1880,80165848,Bittoo Boss,05/01/2017,2012,TV-14,117,"When a small-town wedding videographer falls in love, he decides he needs to make more money and turns to shooting sexy videos – with mixed results."
1881,70275753,Bombay Talkies,05/01/2017,2013,TV-14,123,"A gay man deals with his sexuality, a struggling actor has an epiphany, a boy becomes a dancer, and a man tries to fulfill his father's dying wish."
1882,70295762,Boss,05/01/2017,2013,NR,139,"Disowned by his father as a boy, Surya is taken in by a crime boss. When his brother Shiv is wrongly imprisoned, his father pleads for Surya's help."
1883,80165849,Budhia Singh: Born to Run,05/01/2017,2016,TV-14,95,"In this thought-provoking biopic, an idealistic judo trainer adopts a boy from the slums and grooms him into the world's youngest marathon runner."
1884,80158395,Chaahat,05/01/2017,1996,NR,148,A vulnerable singer is forced to choose between the girl he loves and another who has developed an unhealthy obsession with him.
1885,70275774,Chashme Buddoor,05/01/2017,2013,TV-PG,121,"When pretty new neighbor Seema falls for their shy roommate Sid, jealous womanizers Omi and Jai plot to break up the new lovebirds."
1886,80103430,Defying the Nazis: The Sharps' War,05/01/2017,2016,TV-14,79,"This film documents the story of minister Waitstill Sharp and his wife, Martha, who risked everything to save thousands of refugees fleeing the Nazis."
1887,80165850,Dharam Sankat Mein,05/01/2017,2015,TV-PG,127,"After learning he was adopted from a Muslim couple, a Hindu man seeks his birth father but finds he must confront his bigotry to realize his quest."
1888,80103372,Don't Think Twice,05/01/2017,2016,R,92,Six talented but struggling improv comics see a sudden shift in their troupe's dynamic after one of them lands a much-coveted gig on television.
1889,80068117,Drishyam,05/01/2017,2015,TV-14,162,An unexceptional man becomes a murder suspect when the son of a high-ranking police official who harassed his daughter goes missing.
1890,20764666,English Babu Desi Mem,05/01/2017,1996,TV-14,163,"After his brother dies, wealthy Vikram reluctantly returns to India and forms a surprise bond with his orphaned nephew and the showgirl raising him."
1891,70268209,Fire in the Blood,05/01/2017,2012,TV-14,83,Dylan Mohan Gray examines Africa's AIDS crisis and activists' battle with pharmaceutical companies to make life-saving HIV drugs more affordable.
1892,80165851,Gollu Aur Pappu,05/01/2017,2014,TV-14,112,"Hapless brothers Gollu and Pappu stumble into a terrorist plot and end up being ordered to detonate a bomb, a task they are destined to bungle."
1893,70129415,HALO Legends,05/01/2017,2009,PG-13,117,"This anthology features seven independent anime shorts from renowned directors, delving into the futuristic universe of the video game franchise Halo."
1894,80095094,Harry Benson: Shoot First,05/01/2017,2016,NR,90,"This film chronicles the career of photographer Harry Benson, who earned global renown with his candid shots of the Beatles and other celebrities."
1895,80156763,He Even Has Your Eyes,05/01/2017,2016,TV-14,95,"When French-African couple Paul and Sali discover the longed-for baby they are about to adopt is white, family chaos and confrontation ensue."
1896,80156857,In the Shadow of Iris,05/01/2017,2016,TV-MA,99,"The sudden disappearance of a wealthy banker's wife cracks open a dizzying world of secret fetishes, desperate acts and elaborate deceptions."
1897,70268489,Inkaar,05/01/2017,2013,NR,125,"An ad agency CEO is put under investigation when his ambitious protégée – and lover – accuses him of sexual harassment, vying for his top position."
1899,80158588,JFK: The Making of a President,05/01/2017,2017,TV-PG,44,"Explore how John F. Kennedy's worldview was influenced by his younger years, when he endured poor health, family tragedy and a demanding father."
1900,80178720,Kiss & Cry,05/01/2017,2017,TV-14,93,"Faced with a rare form of throat cancer, teen figure skater Carley Allison finds strength in singing for an online audience in this biopic."
1901,80106505,Loev,05/01/2017,2015,TV-MA,89,Lives are upended when a hiking trip leads a Wall Street hotshot to explore his true feelings for an old pal who’s disenchanted with his boyfriend.
1902,80169548,Losing Sight of Shore,05/01/2017,2017,TV-14,92,"This documentary recounts the feats of the Coxless Crew, a team of four women who rowed from San Francisco to Australia in support of two charities."
1903,80015785,Mary Kom,05/01/2017,2014,TV-14,120,The daughter of a poor rice farmer overcomes the objections of her father and the demands of a male-dominated society to pursue a career in boxing.
1904,80097361,Maya Angelou: And Still I Rise,05/01/2017,2016,TV-PG,114,Poet and civil rights activist Maya Angelou is celebrated using her own words set over rare photographs and video illustrating her remarkable life.
1905,80176716,Moh Maya Money,05/01/2017,2016,TV-MA,109,"After investing in a shady deal that quickly falls apart, a morally flexible real estate agent involves his wife in a dangerous recovery plan."
1906,80132961,Mostly Sunny,05/01/2017,2016,TV-MA,83,"Explore the unconventional career of Sunny Leone, who transitioned from adult film star to Bollywood actress and reality TV star."
1907,80165857,Mumbai Delhi Mumbai,05/01/2017,2014,TV-14,107,"In Delhi for the first time, a Mumbai girl loses her phone but gets a surprise chance at true love with a local boy who begrudgingly helps her."
1908,70258366,Oh My God,05/01/2017,2012,TV-PG,129,Mumbai shopkeeper Kanji Bhai files a lawsuit against God when an earthquake destroys his store and his insurance policy won't cover the damage.
