,title_id,country
0,60000861,United States
1,60000861,Canada
0,1151375,United States
0,81137484,Brazil
1,81137484,United States
0,80187228,United Kingdom
1,80187228,Canada
2,80187228,United States
0,81031008,United States
0,70099119,United States
1,70099119,France
0,70039185,Germany
1,70039185,United States
2,70039185,Canada
0,81165769,Nigeria
0,70056433,United States
0,70113003,United States
0,60031232,United States
1,60031232,Australia
0,80032842,Nigeria
0,81137482,Denmark
1,81137482,Brazil
2,81137482,France
3,81137482,Portugal
4,81137482,Sweden
0,70043308,United States
0,81165771,Nigeria
0,70044697,United States
0,70105368,United States
0,80241003,United Kingdom
0,81141689,United States
0,1008581,United States
0,70058023,United States
0,81165786,Nigeria
0,81165770,Nigeria
0,70043303,United States
0,70136074,France
1,70136074,United States
0,1153194,United States
0,70112730,United States
1,70112730,United Kingdom
0,81154900,United States
0,81158575,United Arab Emirates
0,81065786,Egypt
0,70087541,United States
0,81004113,Taiwan
0,81003984,Spain
0,70024088,United States
0,81005312,France
1,81005312,Belgium
0,80082969,United States
0,80994130,India
0,81019924,India
0,81018240,India
0,81013710,India
0,70077076,United States
0,81014988,India
1,81014988,Germany
2,81014988,Austria
0,80102950,Thailand
0,80994108,Australia
0,70055221,Mexico
0,81005314,France
0,80242828,United States
0,81004223,United States
0,80198730,United States
0,81016043,Thailand
0,17672040,United States
0,81004162,Russia
0,80188969,Taiwan
0,20254278,India
0,80189208,Taiwan
0,70276596,Japan
0,80063025,Japan
0,70068739,United States
0,80158389,India
0,80184974,Czech Republic
1,80184974,France
0,80156941,India
0,80178543,Japan
0,70213196,Japan
0,70208520,United States
0,80061314,United States
1,80061314,Senegal
0,70052492,Japan
0,70036200,Japan
0,70018513,Japan
0,80158480,India
0,80105933,United States
0,80139506,United States
0,80205314,India
0,80133200,Norway
0,80158545,India
0,80156939,India
0,80152537,Japan
0,80045673,Japan
0,70275937,Japan
0,70101321,Japan
0,70108386,Japan
0,70074559,Japan
0,80162197,Germany
0,80184055,United States
0,80160358,France
0,60034929,United States
0,80157134,India
1,80157134,Soviet Union
0,80141891,Argentina
1,80141891,Spain
0,80183897,United States
1,80183897,Hong Kong
0,80177834,China
0,80121855,United Kingdom
1,80121855,Italy
2,80121855,Israel
3,80121855,Peru
4,80121855,United States
0,80168028,Argentina
1,80168028,Uruguay
2,80168028,Spain
3,80168028,France
0,80200913,Germany
1,80200913,United States
2,80200913,Italy
0,80190990,Argentina
0,80173269,United States
0,80106140,Netherlands
0,80106137,Netherlands
0,80118873,United Kingdom
0,70229514,United Kingdom
0,80114155,Pakistan
1,80114155,Norway
2,80114155,United States
0,70303288,Taiwan
0,80118841,United Kingdom
0,80102579,Canada
1,80102579,United States
0,80111273,Taiwan
0,80097438,United States
0,80111710,China
0,80114419,Spain
0,80118888,United Kingdom
0,80128337,Switzerland
0,70303289,Taiwan
0,80111614,China
0,80111275,Taiwan
0,80103426,Spain
0,80118889,United Kingdom
0,70278877,United States
0,80244311,United States
0,81183570,United States
0,80216665,United States
0,81016328,Indonesia
0,80239503,United States
0,81016321,Indonesia
0,80031666,United Kingdom
1,80031666,Ukraine
2,80031666,United States
0,80995737,United States
0,81021976,United States
0,81020161,Malaysia
0,80025390,Australia
1,80025390,United States
0,80196216,United States
0,80091741,United States
0,80115464,United States
0,80113144,United States
0,80041653,Ireland
1,80041653,South Africa
0,81016338,Indonesia
0,81002592,Vietnam
0,81017724,United States
0,80174918,Japan
0,80170301,China
1,80170301,India
2,80170301,Nepal
0,80189623,United States
0,80215730,Mexico
0,81161487,South Korea
0,81177367,India
0,81016323,Indonesia
0,81016318,Indonesia
0,80240840,Czech Republic
1,80240840,United States
0,80191369,Japan
0,80242081,United Kingdom
0,80168222,United States
0,80220650,South Korea
0,80164032,United Kingdom
1,80164032,Hong Kong
0,81158574,Turkey
0,80237905,Canada
0,81132440,Turkey
0,80117803,United States
0,81021243,United States
0,81004460,United Kingdom
1,81004460,Canada
2,81004460,Italy
0,81016330,Indonesia
0,70105130,United States
0,81010662,Japan
0,80141858,United States
0,81084225,Argentina
0,80203920,Taiwan
0,80199806,Spain
1,80199806,France
0,80084834,Philippines
0,80208273,United States
0,80145699,United States
0,80204927,Australia
0,70266684,United States
0,81166978,South Korea
0,81177371,India
0,81167029,South Korea
0,70067230,India
0,80207446,India
0,80207447,India
0,81016324,Indonesia
0,80192097,United States
0,70185045,United States
0,80217066,United States
0,70002129,United States
0,80191963,United Kingdom
1,80191963,India
2,80191963,United States
0,80218099,United States
0,80199767,United States
